Const. ID#,RMS Const. Name,WK Const.,DE Scenario Editor,HD Scenario Editor,UP 1.5 Scenario Editor,AoC 1.0 Scenario Editor,HD Texture File,DE Texture File(s),Minimap Color ,Comments
0,GRASS,GRASS,Grass 1,Grass 1,Grass 1,Grass,g_grs,g_grs,,default terrain
1,WATER,"WATER, DLC_WATER5","Water, Shallow","Water, Shallow","Water, Shallow","Water, Shallow",g_wtr,g_wtr,,dockable
2,BEACH,"BEACH, DLC_BEACH2, DLC_BEACH3, DLC_BEACH4",Beach,Beach,Beach,-,g_bch,g_bch,,automatically placed when most terrains border water; can build walls on; navigable
3,DIRT3,"DIRT3, DIRT4, DLC_DIRT4",Dirt 3,Dirt 3,Dirt 3,Dirt 3,g_ds3,g_ds3,,grassy
4,SHALLOW,"SHALLOW, DLC_NEWSHALLOW",Shallows,Shallows,Shallows,Shallows,g_sha,g_sha,,walkable and navigable; no buildings
5,LEAVES,"LEAVES, DLC_JUNGLELEAVES",Underbrush,Leaves,Leaves,Leaves,g_for,g_for,,used as the underlying texture for many forest types
6,DIRT,DIRT,Dirt 1,Dirt 1,Dirt 1,Dirt 1,g_des,g_des,,brown with the occasional cactus
7,-,-,Farm,Farm,Farm,-,g_fm1,g_fm1,,"terrain only, no food"
8,-,-,"Farm, Dead","Farm, dead",Dead Farm,-,g_fm2,g_fm2,,"terrain only, no food"
9,GRASS3,"GRASS3, MOORLAND",Grass 3,Grass 3,Grass 3,Grass 3,g_gr3,g_gr3,,brownish grass
10,FOREST,"FOREST, DLC_RAINFOREST","Forest, Oak",Forest,Forest,Forest,g_for,g_for,,placed on LEAVES
11,DIRT2,DLC_MANGROVESHALLOW,Dirt 2,Dirt 2,Dirt 2,Dirt 2,g_ds2,g_ds2,,dirt/grass mixture
12,GRASS2,"GRASS2, DLC_JUNGLEGRASS",Grass 2,Grass 2,Grass 2,Grass 2,g_gr2,g_gr3,,very green grass
13,PALM_DESERT,PALM_DESERT,"Forest, Palm Desert",Palm Desert,Plam Desert,Palm Desert,g_pal,g_pal,,placed on DESERT
14,DESERT,"DESERT, SAVANNAH","Desert, Sand","Desert, Sand",Desert,Desert,g_pal,g_pal,,sandy and light colored
15,-,-,"Water 2D, Shoreless","Water 2D, Shoreless","Water, Shallow (Other)",-,g_wtr,g_wtr,,looks like WATER; navigable; no beaches; not dockable
16,ROCK1,"BAOBAB, BAOBAB_FOREST, BAOBABS","Grass, Other","Grass, Other 2",Unknown,-,g_grs,g_grs,,looks like GRASS; automatically placed under cliffs; the const is only defined in HD and DE
17,JUNGLE,JUNGLE,"Forest, Jungle",Jungle,Jungle,Jungle,g_for,g_for,,placed on LEAVES
18,BAMBOO,BAMBOO,"Forest, Bamboo",Bamboo,Bamboo,Bamboo,g_for,g_for,,placed on LEAVES
19,PINE_FOREST,PINE_FOREST,"Forest, Pine",Pine Forest,Pine Forest,Pine Forest,g_for,g_for,,placed on LEAVES
20,-,DLC_MANGROVEFOREST,"Forest, Oak Bush",Oak Forest,Oak Forest,Oak Forest,g_for,g_for,,placed on LEAVES; identical to FOREST prior to DE
21,SNOW_FOREST,"SNOW_FOREST, DRAGONFOREST","Forest, Pine Snow",Snow Pine Forest,Snow Pine Forest,Snow Pine Forest,g_snf,g_snf,,placed on GRASS_SNOW in AoC; placed on a snow/leaves mix in HD and DE
22,DEEP_WATER,"DEEP_WATER, DLC_WATER4","Water, Deep","Water, Deep","Water, Deep","Water, Deep",g_wt2,g_wt2,,not dockable
23,MED_WATER,MED_WATER,"Water, Medium","Water, Medium","Water, Medium","Water, Medium",g_wt3,g_wt3,,not dockable
24,ROAD,ROAD,Road,Road,Road,Road,g_rd1,g_rd1,,a clean road; cannot place natural resources
25,ROAD2,"ROAD2, DLC_DRYROAD","Road, Broken","Road, Broken","Road, Broken","Road, Broken",g_rd2,g_rd2,,road broken up by dirt patches; cannot place natural resources
26,-,-,"Ice, Navigable",Ice,Ice (Other),-,g_ice,g_ice,,navigable
27,-,DIRT2,"Grass, Foundation","Grass, Foundation",Building,-,g_ds2,g_ds2,,"like DIRT2, no beaches; still dockable; left behind by buildings"
28,-,-,"Water 2D, Bridge","Water 2D, Bridge","Water, Shallow (Bridge)",-,g_wtr,g_wtr,,no beaches; walkable; not navigable; no buildings; produced by bridge objects
29,-,-,"Farm, 0%","Farm, 0%",Farm 1,-,g_fc1,g_fc1,,"terrain only, no food"
30,-,-,"Farm, 33%","Farm, 33%",Farm 2,-,g_fc2,g_fc2,,"terrain only, no food"
31,-,-,"Farm, 67%","Farm, 67%",Farm 3,-,g_fc3,g_fc3,,"terrain only, no food"
32,SNOW,SNOW,Snow,Snow,Snow,Snow,g_sno,g_sno,,icy beach when bordering water
